country,year_month,latitude,longitude,year,month,temperature_celsius,feels_like_celsius,humidity,wind_kph,gust_kph,pressure_mb,precip_mm,uv_index,cloud,visibility_km,air_quality_PM2.5,air_quality_PM10
Timor-Leste,2024-06,-8.56,125.57,2024.0,6.0,24.303448275862067,26.275862068965516,75.86206896551724,8.293103448275861,11.513793103448275,1013.3103448275862,0.0006896551724137932,1.0,18.344827586206897,10.0,2.168965517241379,4.165517241379311
Timor-Leste,2024-07,-8.56,125.57000000000001,2024.0,7.0,23.642857142857142,25.664285714285715,75.96428571428571,10.235714285714286,14.992857142857144,1013.3928571428571,0.07785714285714286,1.0,25.571428571428573,9.928571428571429,2.1392857142857142,4.817857142857143
Timor-Leste,2024-08,-8.56,125.57,2024.0,8.0,24.09032258064516,25.967741935483872,75.51612903225806,9.438709677419356,13.596774193548388,1013.4193548387096,0.003548387096774194,1.0,13.096774193548388,10.0,2.3161290322580643,4.800000000000001
Timor-Leste,2024-09,-8.56,125.57,2024.0,9.0,25.446666666666665,27.586666666666666,74.33333333333333,10.879999999999999,15.180000000000001,1011.5666666666667,0.12633333333333333,2.2333333333333334,38.46666666666667,9.933333333333334,7.033333333333333,11.4665
Timor-Leste,2024-10,-8.558690322580647,125.57336774193547,2024.0,10.0,27.580645161290324,30.032258064516128,68.70967741935483,12.819354838709677,15.470967741935485,1009.483870967742,0.10612903225806451,2.196774193548387,57.225806451612904,9.806451612903226,11.046290322580646,18.416451612903224
Timor-Leste,2024-11,-8.5586,125.5736,2024.0,11.0,27.916666666666668,31.066666666666666,72.5,8.783333333333333,12.146666666666667,1008.1,0.7303333333333334,0.89,67.1,9.6,8.584,11.821499999999999
Timor-Leste,2024-12,-8.5586,125.5736,2024.0,12.0,26.606451612903225,30.019354838709678,83.93548387096774,6.770967741935484,11.848387096774195,1007.4516129032259,0.6793548387096774,0.0,75.06451612903226,9.516129032258064,7.835645161290323,8.921774193548387
Timor-Leste,2025-01,-8.5586,125.5736,2025.0,1.0,26.348387096774193,29.40967741935484,82.45161290322581,6.141935483870968,10.203225806451613,1008.0645161290323,0.6054838709677419,0.2903225806451613,67.61290322580645,9.67741935483871,8.689032258064517,9.375322580645161
Timor-Leste,2025-02,-8.5586,125.57360000000001,2025.0,2.0,26.228571428571428,29.29642857142857,83.64285714285714,10.028571428571428,15.932142857142859,1008.5357142857143,1.0310714285714286,0.010714285714285714,74.89285714285714,9.142857142857142,7.248035714285714,8.457142857142857
Timor-Leste,2025-03,-8.5586,125.5736,2025.0,3.0,26.883870967741935,30.20967741935484,81.03225806451613,7.15483870967742,10.803225806451612,1007.5483870967741,0.7212903225806452,0.2,74.09677419354838,9.387096774193548,6.862903225806452,8.014677419354838
Timor-Leste,2025-04,-8.5586,125.5736,2025.0,4.0,26.45,29.209999999999997,78.46666666666667,6.126666666666667,9.43,1008.7666666666667,0.4953333333333333,0.26666666666666666,64.26666666666667,9.7,8.4175,10.1565
Timor-Leste,2025-05,-8.5586,125.5736,2025.0,5.0,26.4741935483871,29.338709677419356,79.51612903225806,7.393548387096774,10.041935483870969,1009.1290322580645,0.43645161290322576,0.43870967741935485,68.87096774193549,9.67741935483871,8.545806451612904,10.771774193548387
Timor-Leste,2025-06,-8.5586,125.5736,2025.0,6.0,25.85666666666667,28.003333333333334,74.8,6.78,9.183333333333334,1010.8,0.08800000000000001,0.35333333333333333,57.96666666666667,9.933333333333334,14.115499999999999,17.291333333333334
Timor-Leste,2025-07,-8.5586,125.5736,2025.0,7.0,25.77741935483871,27.635483870967743,70.96774193548387,7.232258064516128,10.206451612903225,1009.9354838709677,0.08580645161290323,0.7709677419354838,49.38709677419355,9.935483870967742,14.334516129032258,17.14532258064516
Timor-Leste,2025-08,-8.5586,125.5736,2025.0,8.0,26.287096774193547,27.93548387096774,66.09677419354838,12.887096774193548,15.274193548387096,1010.3870967741935,0.01,1.0903225806451613,35.74193548387097,10.0,13.773548387096774,16.721612903225807
Timor-Leste,2025-09,-8.5586,125.5736,2025.0,9.0,27.026666666666664,29.083333333333332,67.76666666666667,14.333333333333334,17.276666666666664,1010.1,0.21633333333333335,1.9,46.4,9.766666666666667,13.033999999999999,15.917333333333334
Timor-Leste,2025-10,-8.5586,125.5736,2025.0,10.0,27.848387096774193,30.135483870967743,65.54838709677419,9.783870967741937,11.919354838709678,1008.6129032258065,0.17258064516129032,3.1806451612903226,42.483870967741936,9.774193548387096,8.846774193548388,10.333870967741936
Timor-Leste,2025-11,-8.5586,125.5736,2025.0,11.0,27.846666666666668,31.023333333333333,72.96666666666667,9.673333333333334,12.636666666666667,1006.9666666666667,0.7490000000000001,3.6133333333333337,77.8,9.533333333333333,7.3966666666666665,8.46
Timor-Leste,2025-12,-8.5586,125.5736,2025.0,12.0,27.11935483870968,30.370967741935484,78.45161290322581,9.416129032258064,12.306451612903226,1006.4516129032259,0.7725806451612903,3.429032258064516,73.16129032258064,9.451612903225806,5.324193548387097,5.879032258064516
Timor-Leste,2026-01,-8.5586,125.5736,2026.0,1.0,27.386666666666667,30.686666666666667,76.6,16.17,19.65666666666667,1006.9666666666667,0.43533333333333335,3.77,75.2,9.266666666666667,4.833333333333333,5.763333333333334
Timor-Leste,2026-02,-8.5586,125.5736,2026.0,2.0,27.75,30.983333333333334,74.33333333333333,17.116666666666667,20.0,1007.5,0.125,4.916666666666667,73.83333333333333,9.666666666666666,2.783333333333333,2.983333333333333
Togo,2024-06,6.13,1.22,2024.0,6.0,27.9,31.2,74.0,19.1,24.6,1011.0,0.16,6.0,85.0,10.0,7.9,12.3
Tonga,2024-05,-21.13,-175.2,2024.0,5.0,23.64375,25.9,90.4375,11.64375,30.175,1014.4375,0.30625,1.0,62.625,9.0625,1.76875,6.2375
Tonga,2024-06,-21.13,-175.2,2024.0,6.0,22.48,24.22666666666667,81.83333333333333,14.053333333333335,32.086666666666666,1017.3,0.04666666666666667,1.0,52.6,10.0,1.8733333333333335,8.063333333333334
Tonga,2024-07,-21.13,-175.2,2024.0,7.0,21.917241379310347,23.06206896551724,79.6896551724138,19.693103448275863,36.358620689655176,1016.7241379310345,0.03379310344827586,1.0,50.275862068965516,9.96551724137931,2.003448275862069,8.886206896551723
Tonga,2024-08,-21.13,-175.2,2024.0,8.0,21.364516129032257,22.316129032258065,79.7741935483871,17.825806451612905,34.54516129032258,1019.0967741935484,0.04709677419354839,1.0,53.41935483870968,10.0,2.029032258064516,8.683870967741935
Tonga,2024-09,-21.13,-175.2,2024.0,9.0,21.106451612903225,21.706451612903226,91.16129032258064,19.019354838709678,34.099999999999994,1017.483870967742,0.06967741935483872,1.0,54.03225806451613,10.0,14.222903225806453,26.974806451612906
Tonga,2024-10,-21.13308709677419,-175.2,2024.0,10.0,22.92258064516129,24.703225806451613,91.03225806451613,28.0741935483871,38.07741935483871,1016.741935483871,0.20258064516129032,0.2903225806451613,56.74193548387097,9.709677419354838,18.79241935483871,34.803870967741936
Tonga,2024-11,-21.1333,-175.2,2024.0,11.0,23.663333333333334,25.746666666666666,91.4,28.43,38.656666666666666,1016.1333333333333,0.17033333333333334,0.03333333333333333,59.56666666666667,10.0,14.843166666666667,25.690333333333335
Tonga,2024-12,-21.1333,-175.2,2024.0,12.0,25.283870967741933,27.94193548387097,88.61290322580645,24.22258064516129,33.95483870967742,1011.8709677419355,0.27032258064516124,0.0,54.774193548387096,9.64516129032258,10.694193548387096,16.948387096774194
Tonga,2025-01,-21.1333,-175.2,2025.0,1.0,24.86774193548387,26.980645161290322,92.48387096774194,17.893548387096775,25.719354838709677,1011.8064516129032,0.19096774193548388,0.03225806451612903,56.516129032258064,9.838709677419354,7.764032258064516,11.547580645161291
Tonga,2025-02,-21.1333,-175.2,2025.0,2.0,26.12142857142857,28.95,91.39285714285714,23.417857142857144,32.635714285714286,1011.5,0.2975,0.0,56.892857142857146,9.714285714285714,8.635535714285714,13.062321428571428
Tonga,2025-03,-21.1333,-175.2,2025.0,3.0,25.641935483870967,28.177419354838708,92.96774193548387,17.42258064516129,24.274193548387096,1013.258064516129,0.38161290322580643,0.0,64.90322580645162,10.0,7.083709677419355,10.974677419354839
Tonga,2025-04,-21.1333,-175.2,2025.0,4.0,25.706666666666667,28.133333333333333,90.4,27.546666666666667,37.36,1013.9666666666667,0.10566666666666667,0.0,50.03333333333333,10.0,10.514166666666666,17.1125
Tonga,2025-05,-21.1333,-175.2,2025.0,5.0,23.648387096774194,25.61935483870968,91.12903225806451,29.283870967741937,38.83548387096774,1015.741935483871,0.15161290322580645,0.0,44.74193548387097,9.838709677419354,10.473387096774195,17.085645161290323
Tonga,2025-06,-21.1333,-175.2,2025.0,6.0,22.35666666666667,23.826666666666664,90.8,27.646666666666665,36.68,1017.1666666666666,0.11699999999999999,0.0,52.06666666666667,10.0,10.958166666666667,17.710666666666665
Tonga,2025-07,-21.1333,-175.2,2025.0,7.0,21.190322580645162,21.838709677419356,88.19354838709677,26.625806451612902,35.248387096774195,1016.7741935483871,0.11612903225806451,0.0,52.41935483870968,10.0,11.875806451612902,19.26983870967742
